Number,Other Numbers,Name,Class,Description,Longer Description,Material,Dimensions,Acoustic Measure,Provenance,Maker,Date,Location,Source,Acquired,Previous Owners,Mark,Labels,Information,Publication,Image,Sound Recording,Playable,Condition,Recorder
10363,,Tool; Clamp;Peg;,Chanot Collection,"Medium wooden peg lining clamp. Wooden body, green felt lining.",Chanot collection of violin making tools,Felt;Wood;,190mm x 50mm x 20mm,,UK,Anon,,Plan chest - Drawer 3,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,J.A.CHANOT,,,,Collections image 04.08.16,,,Fair,B Goodall - 16.08.16
10364,,Tool; Clamp;Peg;,Chanot Collection,"Medium wooden peg lining clamp. Wooden body, suede leather lining.",Chanot collection of violin making tools,Suede;Wood;,180mm x 50mm x 20mm,,UK,Anon,,Plan chest - Drawer 3,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Fair,B Goodall - 16.08.16
10365,,Tool; Clamp;Peg;,Chanot Collection,"Medium wooden peg lining clamp. Wooden body, suede leather lining.",Chanot collection of violin making tools,Suede;Wood;,180mm x 50mm x 20mm,,UK,Anon,,Plan chest - Drawer 3,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Fair,B Goodall - 16.08.16
10366,,Tool; Clamp;Peg;,Chanot Collection,"Medium wooden peg lining clamp. Wooden body, suede leather lining.",Chanot collection of violin making tools,Suede;Wood;,180mm x 50mm x 20mm,,UK,Anon,,Plan chest - Drawer 3,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Fair,B Goodall - 16.08.16
10367,,Tool; Clamp;Peg;,Chanot Collection,"Medium wooden peg lining clamp. Wooden body, green felt lining.",Chanot collection of violin making tools,Felt;Wood;,180mm x 50mm x 20mm,,UK,Anon,,Plan chest - Drawer 3,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Fair,B Goodall - 16.08.16
10368,,Tool; Clamp;Peg;,Chanot Collection,"Medium wooden peg lining clamp. Wooden body, green felt lining.",Chanot collection of violin making tools,Felt;Wood;,180mm x 50mm x 20mm,,UK,Anon,,Plan chest - Drawer 3,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Poor,B Goodall - 16.08.16
10369,,Tool; Clamp;Peg;,Chanot Collection,"Medium wooden peg lining clamp. Wooden body, green felt lining.",Chanot collection of violin making tools,Felt;Wood;,180mm x 50mm x 20mm,,UK,Anon,,Plan chest - Drawer 3,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Fair,B Goodall - 16.08.16
10370,,Tool; Clamp;Peg;,Chanot Collection,"Medium wooden peg lining clamp. Wooden body, green felt lining.",Chanot collection of violin making tools,Felt;Wood;,180mm x 50mm x 20mm,,UK,Anon,,Plan chest - Drawer 3,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Fair,B Goodall - 16.08.16
10371,,Tool; Clamp;Peg;,Chanot Collection,"Medium wooden peg lining clamp. Wooden body, green felt lining, iron screw.",Chanot collection of violin making tools,Felt;Wood;Iron;,190mm x 50mm x 20mm,,UK,Anon,,Plan chest - Drawer 3,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Fair,B Goodall - 16.08.16
10372,,Tool; Clamp;Peg;,Chanot Collection,"Large wooden peg lining clamp. Wooden body, green felt lining.",Chanot collection of violin making tools,Felt;Wood;,330mm x 70mm x 25mm,,UK,Anon,,Plan chest - Drawer 3,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Poor,B Goodall - 16.08.16
10373,,Tool; Clamp;Peg;,Chanot Collection,Large wooden peg lining clamp. Wooden body.,Chanot collection of violin making tools,Wood;,310mm x 55mm x 20mm,,UK,Anon,,Plan chest - Drawer 3,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Good,B Goodall - 17.08.16
10374,,Tool; Clamp;Peg;,Chanot Collection,Large wooden peg lining clamp. Wooden body.,Chanot collection of violin making tools,Wood;,320mm x 60mm x 20mm,,UK,Anon,,Plan chest - Drawer 3,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Good,B Goodall - 17.08.16
10375,,Tool; Clamp;Peg;,Chanot Collection,"Large wooden peg lining clamp. Wooden body, green felt lining.",Chanot collection of violin making tools,Wood;Felt;,315mm x 55mm x 20mm,,UK,Anon,,Plan chest - Drawer 3,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Fair,B Goodall - 17.08.16
10376,,Tool; Gauge;Thickness;,Chanot Collection,"Large wooden thickness testing gauge. Wooden body, bone gauge, metal screw and hinge.",Chanot collection of violin making tools,Wood;Bone;Metal;,380mm x 195mm x 20mm,,UK,Anon,,Plan chest - Drawer 4,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Good,B Goodall - 17.08.16
10377,,Tool; Gauge;Thickness;,Chanot Collection,"Medium wooden thickness testing gauge. Wooden body, metal screw, gauge and hinge.",Chanot collection of violin making tools,Wood;Metal;,250mm x 90mm x 20mm,,UK,Anon,,Plan chest - Drawer 4,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Good,B Goodall - 17.08.16
10409,,Tool; Support block;Belly/back shaping;,Chanot Collection,"Wooden belly/back shaping support block. Dark wood construction.  
",Chanot collection of violin making tools,Wood;,350mm x 200mm x 50mm,,UK,Anon,,Plan chest - Drawer 6,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Good,B Goodall - 17.08.16
10410,,Tool; Support block;Belly/back shaping;,Chanot Collection,Wooden belly/back shaping support block. Dark wood construction.  ,Chanot collection of violin making tools,Wood;,370mm x 220mm x 30mm,,UK,Anon,,Plan chest - Drawer 6,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Good,B Goodall - 17.08.16
10411,,Tool; Support block;Belly/back shaping;,Chanot Collection,"Wooden belly/back shaping support block. Wooden body, green textile lining, metal screws.",Chanot collection of violin making tools,Wood;Felt;Metal;,360mm x 215mm x 20mm,,UK,Anon,,Plan chest - Drawer 6,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Fair,B Goodall - 17.08.16
10412,,Tool; Support block;Finger board shaping;,Chanot Collection,Wooden finger board shaping support block. Two sided for already shaped boards. Wooden construction with metal screws securing sides.,Chanot collection of violin making tools,Wood;Metal;,280mm x 60mm x 20mm,,UK,Anon,,Plan chest - Drawer 6,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,"J.A. CHANOT
H CASWELL
SWELL",,,,Collections image 04.08.16,,,Good,B Goodall - 17.08.16
10413,,Tool; Support block;Finger board shaping;,Chanot Collection,Wooden finger board shaping support block. Wooden construction.,Chanot collection of violin making tools,Wood;,290mm x 60mm x 25mm,,UK,Anon,,Plan chest - Drawer 6,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Good,B Goodall - 17.08.16
10414,,Tool; Support block;Finger board shaping;,Chanot Collection,Wooden finger board shaping support block. Wooden construction. ,Chanot collection of violin making tools,Wood;,300mm x 50mm x 15mm,,UK,Anon,,Plan chest - Drawer 6,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Good,B Goodall - 17.08.16
10294,,Tool;  Reamer; ,Chanot Collection,"Small engineering reamer with steel shank, brass ferrule and wooden handle.",Chanot collection of violin making tools,Steel;Brass; Wood; ,272mm,,UK,Anon,,Plan chest - Drawer 2,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 15.04.16,,,Good,A Lamb - 14.04.16
10320,,Tool; File;Flat;,Chanot Collection,Large steel flat file.,Chanot collection of violin making tools,Steel;,230mm,,UK,Anon,,Plan chest - Drawer 4,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Good,B Goodall - 04.08.16
10378,,Component;Violin;Belly plate;,Chanot Collection,Spliced violin belly plate roughly cut to initial shape. No surface shaping.,Chanot collection of violin making tools,Wood;,355mm x 210mm x 20mm,,UK,Chanot,,Plan chest - Drawer 6,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Good,B Goodall - 19.08.16
10379,,Component;Violin;Belly plate;,Chanot Collection,Spliced violin belly plate roughly cut to initial shape. Top surface shaping.,Chanot collection of violin making tools,Wood;,360mm x 210mm x 20mm,,UK,Chanot,,Plan chest - Drawer 6,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Good,B Goodall - 19.08.16
10380,,Component;Viola;Belly plate,Chanot Collection,Single piece viola belly plate roughly cut to initial shape. Top surface shaping.,Chanot collection of violin making tools,Wood;,410mm x 235mm x 20mm,,UK,Chanot,,Plan chest - Drawer 6,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Good,B Goodall - 19.08.16
10381,,Component;Violin;Back plate;,Chanot Collection,Single piece violin back plate roughly cut to initial shape. Top surface shaping.,Chanot collection of violin making tools,Wood;,370mm x 210mm x 20mm,,UK,Chanot,,Plan chest - Drawer 6,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,No I Strad Model,,,,Collections image 04.08.16,,,Good,B Goodall - 19.08.16
10382,,Component;Violin;Back plate;,Chanot Collection,Spliced violin back plate roughly cut to initial shape. Top surface shaping.,Chanot collection of violin making tools,Wood; ,370mm x 210mm x 20mm,,UK,Chanot,,Plan chest - Drawer 6,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Good,B Goodall - 19.08.16
10383,,Tool; Violin;Back plate;,Chanot Collection,Spliced violin back plate roughly cut to initial shape. Top surface shaping. Some damage to edges.,Chanot collection of violin making tools,Wood;,375mm x 210mm x 20mm,,UK,Chanot,,Plan chest - Drawer 6,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Poor,B Goodall - 19.08.16
10384,,Tool; Gauge;String;,Chanot Collection,Darbeys Patent cylindrical string gauge in lined presentation box. Three adjustors - one with marking 0-5-10-15-20.,Chanot collection of violin making tools,Brass;Textile;,40mm x 15mm,,UK,Darbeys,,Plan chest - Drawer 7,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,DARBEYS PATENT,,,,Collections image 04.08.16,,,Good,B Goodall - 19.08.16
10385,,Tool; Gauge;String;,Chanot Collection,"Cello string gauge, range 5-19mm.",Chanot collection of violin making tools,Brass;,90mm x 30mm,,UK,Anon,,Plan chest - Drawer 7,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,JOSEPH CHANOT,,,,Collections image 04.08.16,,,Good,B Goodall - 19.08.16
10386,,Tool; Gauge;String;,Chanot Collection,"Cello string gauge, range 6-19mm.",Chanot collection of violin making tools,Brass;,90mm x 30mm,,UK,Anon,,Plan chest - Drawer 7,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,JOSEPH CHANOT,,,,Collections image 04.08.16,,,Good,B Goodall - 19.08.16
10387,,Tool; Gauge;String;,Chanot Collection,"Multipurpose string gauge, seven position annotations from A-G.",Chanot collection of violin making tools,Brass;,80mm x 20mm,,UK,Anon,,Plan chest - Drawer 7,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,JOSEPH A CHANOT,,,,Collections image 04.08.16,,,Good,B Goodall - 19.08.16
10388,,Tool; Gauge;String;,Chanot Collection,"Violin string gauge. Stamped with ""HILL"".",Chanot collection of violin making tools,Brass;,40mm x 15mm,,UK,Anon,,Plan chest - Drawer 7,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,HILL,,,,Collections image 04.08.16,,,Good,B Goodall - 19.08.16
10389,,Tool; Gauge; String; ,Chanot Collection,"Violin string gauge. Stamped with ""HILL"".",Chanot collection of violin making tools,Brass;,40mm x 15mm,,UK,Anon,,Plan chest - Drawer 7,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,HILL,,,,Collections image 04.08.16,,,Good,B Goodall - 19.08.16
10390,,Tool; Gauge;String;,Chanot Collection,"Patented viola string gauge by C.F. Albert. Patented March 2nd, 88.",Chanot collection of violin making tools,Brass;,60mm x 20mm,,UK,Anon,,Plan chest - Drawer 7,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,"VIOLA
C.F. ALBERT",,,,Collections image 04.08.16,,,Good,B Goodall - 19.08.16
10391,,Tool; Gauge;String;,Chanot Collection,"Patented violin string gauge by C.F. Albert.
",Chanot collection of violin making tools,Brass;,40mm x 25mm,,UK,Anon,,Plan chest - Drawer 7,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,"VIOLIN
C.F. ALBERT",,,,Collections image 04.08.16,,,Good,B Goodall - 19.08.16
10392,,Tool; Gauge;String;,Chanot Collection,"Small violin string gauge, scale of 0 - 2.0.",Chanot collection of violin making tools,Steel;,40mm x 20mm,,UK,Anon,,Plan chest - Drawer 7,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Good,B Goodall - 19.08.16
10394,,Tool; Gauge;String;,Chanot Collection,"Rectangular violin string gauge, scale 1-4 for each string.
",Chanot collection of violin making tools,Brass;,30mm x 25mm,,UK,Anon,,Plan chest - Drawer 7,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Good,B Goodall - 19.08.16
10393,,Tool; Gauge;String;,Chanot Collection,"Rectangular violin string gauge, scale 1-4 for each string.",Chanot collection of violin making tools,Brass;,30mm x 25mm,,UK,Anon,,Plan chest - Drawer 7,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Good,B Goodall - 19.08.16
10395,,Tool; Gauge;String;,Chanot Collection,"Rectangular violin string gauge, scale 1-4 for each string.",Chanot collection of violin making tools,Brass;,30mm x 25mm,,UK,Anon,,Plan chest - Drawer 7,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Good,B Goodall - 19.08.16
10396,,Tool; Gauge;String;,Chanot Collection,"Violin string gauge, with case and ball handle.",Chanot collection of violin making tools,Nickel;Leather;,50mm x 20mm,,UK,Anon,,Plan chest - Drawer 7,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Good,B Goodall - 19.08.16
10397,,Tool; Gauge;String;,Chanot Collection,"Violin string gauge, with case and ball handle.",Chanot collection of violin making tools,Nickel;Leather;,50mm x 20mm,,UK,Anon,,Plan chest - Drawer 7,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Good,B Goodall - 19.08.16
10398,,Tool; Gauge;String;,Chanot Collection,"Violin string gauge, with case and ball handle.
",Chanot collection of violin making tools,Nickel;Leather;,50mm x 20mm,,UK,Anon,,Plan chest - Drawer 7,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Good,B Goodall - 19.08.16
10399,,Tool; Gauge;String;,Chanot Collection,"Violin string gauge, with case and ball handle.",Chanot collection of violin making tools,Nickel;Leather;,50mm x 20mm,,UK,Anon,,Plan chest - Drawer 7,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Good,B Goodall - 19.08.16
10400,,Tool; Gauge;String;,Chanot Collection,"Violin string gauge, with case.",Chanot collection of violin making tools,Metal;Leather;,60mm x 20mm,,UK,Anon,,Plan chest - Drawer 7,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Good,B Goodall - 19.08.16
10401,,Tool; Gauge;String;,Chanot Collection,"Viola string gauge, with three marks for each string.",Chanot collection of violin making tools,Metal;,50mm x 15mm,,UK,Anon,,Plan chest - Drawer 7,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Good,B Goodall - 22.08.16
10402,,Tool; Gauge;String;,Chanot Collection,"String gauge, with scale 0-12, and scratch markings of ""A"" and ""D"" and ""KINGDON"".",Chanot collection of violin making tools,Metal;,60mm x 20mm,,UK,Anon,,Plan chest - Drawer 7,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,KINGDON (Scratched on),,,,Collections image 04.08.16,,,Good,B Goodall - 22.08.16
10403,,Tool; Gauge;String;,Chanot Collection,"String gauge, with scale 0-45.
",Chanot collection of violin making tools,Metal;,60mm x 15mm,,UK,Anon,,Plan chest - Drawer 7,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,K. WITHER'S,,,,Collections image 04.08.16,,,Good,B Goodall - 22.08.16
10404,,Tool; Gauge;String;,Chanot Collection,"Viola string gauge, with ring. Three marks for the four strings.
",Chanot collection of violin making tools,Metal;,40mm x 15mm,,UK,Anon,,Plan chest - Drawer 7,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Good,B Goodall - 22.08.16
10405,,Tool; Gauge;String;,Chanot Collection,"Violin string gauge. Three marks for the four strings.
",Chanot collection of violin making tools,Metal;,40mm x 15mm,,UK,Anon,,Plan chest - Drawer 7,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,HILL,,,,Collections image 04.08.16,,,Good,B Goodall - 22.08.16
10406,,Tool; Gauge;String;,Chanot Collection,"Viola string gauge. Three marks for the four strings.
",Chanot collection of violin making tools,Metal;,50mm x 15mm,,UK,Anon,,Plan chest - Drawer 7,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Good,B Goodall - 22.08.16
10407,,Tool; Gauge;String;,Chanot Collection,"Viola string gauge. Three marks for the four strings.
",Chanot collection of violin making tools,Metal;,50mm x 15mm,,UK,Anon,,Plan chest - Drawer 7,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Good,B Goodall - 22.08.16
10408,,Tool; Gauge;String;,Chanot Collection,"Viola string gauge. Three marks for the four strings.
",Chanot collection of violin making tools,Metal;,50mm x 15mm,,UK,Anon,,Plan chest - Drawer 7,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Good,B Goodall - 22.08.16
10415,,Component;Viola;Belly plate;,Chanot Collection,"Spliced viola belly plate roughly cut to initial shape. Top surface shaping.
",Chanot collection of violin making tools,Wood;,415mm x 240mm x 15mm,,UK,Chanot,,Plan chest - Drawer 6,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Good,B Goodall - 19.08.16
10416,,Component;Cello;Belly plate;,Chanot Collection,Spliced cello belly plate with purfling. Top surface shaping in later stages.,Chanot collection of violin making tools,Wood;,750mm x 440mm x 20mm,,UK,Chanot,,Plan chest - Drawer 5,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Good,B Goodall - 22.08.16
10417,,Component;Violin;Plate;,Chanot Collection,Spliced violin belly/back blank.,Chanot collection of violin making tools,Wood;,380mm x 230mm x 20mm,,UK,Chanot,,Plan chest - Drawer 6,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Good,B Goodall - 22.08.16
10418,,Template;Violin;Body;,Chanot Collection,"Violin full body wooden belly template. Two location holes, soundpost location hole.
",Chanot collection of violin making tools,Wood;,350mm x 200mm,,UK,Chanot,,Plan chest - Drawer 5,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,Le Messie,,,,Collections image 04.08.16,,,Good,B Goodall - 22.08.16
10419,,Template;Violin;Body;,Chanot Collection,"Violin full body wooden belly template. Two location holes, soundpost location hole and a second in pencil.
",Chanot collection of violin making tools,Wood;,350mm x 200mm,,UK,Chanot,,Plan chest - Drawer 5,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,Enthoren Guariarius,,,,Collections image 04.08.16,,,Good,B Goodall - 22.08.16
10420,,Template;Violin;Body;,Chanot Collection,"Violin full body wooden belly template. Two location holes, soundpost location hole.",Chanot collection of violin making tools,Wood;,345mm x 195mm,,UK,Chanot,,Plan chest - Drawer 5,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,"Nicolo Amati 1680
J.A. CHANOT",,,,Collections image 04.08.16,,,Good,B Goodall - 22.08.16
10421,,Template;Violin;Body;,Chanot Collection,"Violin full body wooden belly template. One location hole, soundpost location hole. Some worm damage and warping.
",Chanot collection of violin making tools,Wood;,345mm x 200mm,,UK,Chanot,,Plan chest - Drawer 5,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,"Contressioule violon
Joseph Guariarius de lle Ethoren",,,,Collections image 04.08.16,,,Good,B Goodall - 22.08.16
10422,,Template;Violin;Body;,Chanot Collection,"Violin full body wooden belly template. One location hole, soundpost marked in pencil.
",Chanot collection of violin making tools,Wood;,345mm x 195mm,,UK,Chanot,,Plan chest - Drawer 5,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,1724 Strad,,,,Collections image 04.08.16,,,Good,B Goodall - 22.08.16
10423,,Template;Violin;Body;,Chanot Collection,"Violin full body wooden belly template. Scroll end cut out of template centre. f-holes marked in pencil
",Chanot collection of violin making tools,Wood;,345mm x 200mm,,UK,Chanot,,Plan chest - Drawer 5,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Good,B Goodall - 22.08.16
10424,,Template;Violin;Body;,Chanot Collection,"Violin full body wooden belly/back template. f-hole makings, and sound post holes.
",Chanot collection of violin making tools,Wood;,365mm x 205mm,,UK,Chanot,,Plan chest - Drawer 5,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,"Antonius Stradivarius, 1716.
Le Messie
J B Vuillaume
this side up for marking the back
side of sound post
Georges Chanot, 1890.
Cote de la Table Vonte
Cote du Fond
Antonius Stradivarius 1716
this side up for marking the Belly
Messie
Cote du Fond Vonte",,,,Collections image 04.08.16,,,Good,B Goodall - 22.08.16
10425,,Template;Violin;Body;,Chanot Collection,"Violin full body wooden belly/back template. Two location holes, soundpost position hole.",Chanot collection of violin making tools,Wood;,365mm x 200mm,,UK,Chanot,,Plan chest - Drawer 5,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,"Nicolo Amati
J.A. CHANOT",,,,Collections image 04.08.16,,,Good,B Goodall - 22.08.16
10426,,Template;Violin;Body;,Chanot Collection,Violin full body wooden belly/back template. Paper cuttings of text and pictures. Disposition on players in a string orchestra. Highly annotated. f-holes marked on.,Chanot collection of violin making tools,Wood;,370mm x 205mm,,UK,Chanot,,Plan chest - Drawer 5,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,"Antonius Stradivarius annie 1714 
Cremolia",,,,Collections image 04.08.16,,,Good,B Goodall - 22.08.16
10427,,Template;Violin;Body;,Chanot Collection,"Violin full body wooden belly/back template. Location hole, Soundpost position hole. Paper cutting attached.",Chanot collection of violin making tools,Wood;,370mm x 210mm,,UK,Chanot,,Plan chest - Drawer 5,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,Stradivarius,,,,Collections image 04.08.16,,,Good,B Goodall - 22.08.16
10428,,Template;Violin;Body;,Chanot Collection,"Violin full body wooden back template. Detailed profile lines marked 1A, 2A, 3A, etc. across body, 6A down centre line.",Chanot collection of violin making tools,Wood;,360mm x 210mm,,UK,Chanot,,Plan Chest - Drawer 5,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,"Guarnerius 1734
JAC",,,,Collections image 04.08.16,,,Good,B Goodall - 22.08.16
10433,,Template;Violin;Body;,Chanot Collection,Violin full body wooden belly/back template with centre cut out. Purfling marked. Lots of annotation.,Chanot collection of violin making tools,Wood;,370mm x 210mm,,UK,Chanot,,Plan chest - Drawer 5,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,"Violin of the Enthoven
Joseph Guarnerius
Amino 1741",,,,Collections image 04.08.16,,,Good,B Goodall - 22.08.16
10429,,Template;Violin;Body;,Chanot Collection,Violin half body wooden belly template. Location hole.,Chanot collection of violin making tools,Wood;,345mm x 100mm,,UK,Chanot,,Plan chest - Drawer 5,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,"CHANOT
Courte Moule
Joseph Guanerius
Paganini",,,,Collections image 04.08.16,,,Good,B Goodall - 22.08.16
10430,,Template;Violin;Body;,Chanot Collection,Violin half body wooden belly template. Location hole.,Chanot collection of violin making tools,Wood;,350mm x 100mm,,UK,Chanot,,Plan chest - Drawer 5,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,"JOSEPH CHANOT
Grand Strad",,,,Collections image 04.08.16,,,Good,B Goodall - 22.08.16
10431,,Template;Viola;Body;,Chanot Collection,Viola half body wooden belly template. Location hole. Template cracked and small piece broken off.,Chanot collection of violin making tools,Wood; ,405mm x 115mm,,UK,Chanot,,Plan chest - Drawer 5,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,Strad viola,,,,Collections image 04.08.16,,,Good,B Goodall - 22.08.16
10432,,Template;Violin;Body;,Chanot Collection,"Violin half body wooden belly template. Location hole. Some splitting, and edge damaged. Been repaired in the past.",Chanot collection of violin making tools,Wood;,355mm x 105mm,,UK,Chanot,,Plan chest - Drawer 5,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,J.A. CHANOT,,,,Collections image 04.08.16,,,Good,B Goodall - 22.08.16
10434,,Template;Viola;Body;,Chanot Collection,Viola (tenor) half body wooden belly template. Location hole.,Chanot collection of violin making tools,Wood;,405mm x 120mm,,UK,Chanot,,Plan chest - Drawer 5,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,"April 26th 1902
Amati Yenor",,,,Collections image 04.08.16,,,Good,B Goodall - 23.08.16
10435,,Template;Violin;Body;,Chanot Collection,Violin half body wooden back template. Location hole.,Chanot collection of violin making tools,Wood;,370mm x 105mm,,UK,Chanot,,Plan chest - Drawer 5,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,"Joseph Guarnerius
No 1",,,,Collections image 04.08.16,,,Good,B Goodall - 23.08.16
10436,,Template;Violin;Body;,Chanot Collection,"Violin half body wooden belly template. Location hole.
",Chanot collection of violin making tools,Wood;,350mm x 100mm,,UK,Chanot,,Plan chest - Drawer 5,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,Guarnerius,,,,Collections image 04.08.16,,,Good,B Goodall - 23.08.16
10437,,Template;Violin;Body;,Chanot Collection,Violin half body wooden back template. Location hole.,Chanot collection of violin making tools,Wood;,370mm x 105mm,,UK,Chanot,,Plan chest - Drawer 5,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,,,,,Collections image 04.08.16,,,Good,B Goodall - 23.08.16
10438,,Template;Violin;Body;,Chanot Collection,Violin half body wooden back template. Location hole. Slight split.,Chanot collection of violin making tools,Wood;,370mm x 105mm,,UK,Chanot,,Plan chest - Drawer 5,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,Grand Strad,,,,Collections image 04.08.16,,,Good,B Goodall - 23.08.16
10439,,Template;Violin;Body;,Chanot Collection,Violin half body wooden belly template. Location hole.,Chanot collection of violin making tools,Wood;,350mm x 100mm,,UK,Chanot,,Plan chest - Drawer 5,FOTB,11.12.2015,Chanot Family; Hamilton Caswell,"No: 1.
Strad",,,,Collections image 04.08.16,,,Good,B Goodall - 23.08.16
